INTEGER	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT
year	semester	room	faculty1	faculty2	faculty3	faculty4	name	code	slot
2022	Aug-Dec	A. 18	Deepak Rajendraprasad					CS2010	G
2022	Aug-Dec	A. 18	Unnikrishnan Cheramangalath					CS2030	D
2022	Aug-Dec	A. Comp lab (Ground floor)	Unnikrishan C					CS2130	P6
2023	Jan-May	Auditorium, AAB; Computer Lab, AAB	Albert Sunny	Srimanta Bhattacharya	Sovan Lal Das	Piyush P Kurur		ID1110	E, L2, L3, L4
2023	Jan-May	A 18	Jasine Babu					CS2020	M; E (Wed)
2023	Jan-May	A 18	Krithika Ramaswamy					CS2040	G; D (Wed)
2023	Jan-May	A 18	Vivek Chaturvedi					CS2060	F (Tue, Thu)
2023	Jan-May	A 18	Narayanan C Krishnan					CS2080	D (Mon, Fri); C1
2023	Jan-May	A Comp Lab (G Floor)	Vivek Chaturvedi					CS2160	P6
2023	Jan-May	A Comp Lab (G Floor)	Krithika Ramaswamy	Krishnamoorthy Dinesh				CS2180	P5
2023	Jan-May	A 18	Koninika Pal					CS3020	A, A1
2023	Jan-May	A 18	Unnikrishnan Cheramangalath					CS3040	C; F (Fri)
2023	Jan-May	A Comp Lab (G Floor)	Koninika Pal	Sahely Bhadra				CS3120	P4
2023	Jan-May	A Comp Lab (G Floor)	Unnikrishnan Cheramangalath					CS3140	P7
2023	Jan-May	A Comp Lab (G Floor)	Albert Sunny					CS5016	P2
2023	Jan-May	A Aud	Deepak Rajendraprasad					CS5014	F (Tue,Thu)
2023	Jan-May	A 119	Krishnamoorthy Dinesh					CS5616	M, C1
2023	Jan-May	A 18	Deepak Rajendraprasad					CS5820	I
2023	Jan-May	A 18	Piyush P Kurur					CS5634	J
2023	Jan-May	A 119	Sandeep Chandran					CS5619	H (Mon); E (Mon); D (Mon,Wed)
2023	Jan-May	A 18	Srimanta Bhattacharya					CS5010	K
2023	Jan-May	A 119	Sahely Bhadra					DS5604	F
2023	Jan-May	A Comp Lab (1st floor)	Satyajit Das					DS5102	P6
